Company,Symbol,Sector,Industry,Exchange,MarketCap
,SHAREINDIA,Finance,Investment Banks/Brokers,NSE,609200.06628
,NEULANDLAB,Health Technology,Pharmaceuticals: Major,NSE,678880.746546
,SONACOMS,Producer Manufacturing,Auto Parts: OEM,NSE,3779617.46545
,GRAPHITE,Process Industries,Industrial Specialties,NSE,1074956.518188
,ACCELYA,Technology Services,Packaged Software,NSE,211303.61384650003
,SKFINDIA,Producer Manufacturing,Metal Fabrication,NSE,2274195.735963
,CRISIL,Technology Services,Internet Software/Services,NSE,3170754.2648375
,GILLETTE,Consumer Non-Durables,Household/Personal Care,NSE,2112418.1550675
,CIEINDIA,,,,1785658.708539
,HNDFDS,Consumer Non-Durables,Food: Specialty/Candy,NSE,631810.03476
,MOLDTKPAC,Producer Manufacturing,Miscellaneous Manufacturing,NSE,303914.983464
,ELGIEQUIP,Producer Manufacturing,Industrial Machinery,NSE,1725728.046628
,INDIAGLYCO,Process Industries,Chemicals: Specialty,NSE,237768.83925
,BAJAJHIND,Process Industries,Agricultural Commodities/Milling,NSE,355106.063876
,IPCALAB,Health Technology,Pharmaceuticals: Major,NSE,2824108.502667
,SANOFI,Health Technology,Pharmaceuticals: Major,NSE,1858006.945161
,HINDCOPPER,Non-Energy Minerals,Other Metals/Minerals,NSE,2646261.23073
,LUPIN,Health Technology,Pharmaceuticals: Other,NSE,6023238.655111
,CROMPTON,Producer Manufacturing,Industrial Machinery,NSE,1990365.773105
,VARROC,Distribution Services,Wholesale Distributors,NSE,846742.2288
,IGL,Utilities,Gas Distributors,NSE,2928453.3468
,LICHSGFIN,Finance,Finance/Rental/Leasing,NSE,2948887.743
,LTFOODS,,,,705617.982208
,HEG,Electronic Technology,Electronic Components,NSE,736537.338751
,YESBANK,Finance,Major Banks,NSE,6168929.93574
,RHIM,Producer Manufacturing,Miscellaneous Manufacturing,NSE,1662852.732865
,TIMKEN,Producer Manufacturing,Industrial Machinery,NSE,2446075.620313
,NAVINFLUOR,Process Industries,Chemicals: Specialty,NSE,1909454.80128
,DELTACORP,Consumer Services,Movies/Entertainment,NSE,390811.9160715
,SANSERA,Producer Manufacturing,Auto Parts: OEM,NSE,546012.5091
,KFINTECH,Technology Services,Packaged Software,NSE,822489.718947
,RBLBANK,Finance,Major Banks,NSE,1683123.977766
,OPTIEMUS,Distribution Services,Electronics Distributors,NSE,266500.72086400003
,GNFC,Process Industries,Chemicals: Specialty,NSE,1169914.8890325
,PRESTIGE,Finance,Real Estate Development,NSE,4725758.039005999
,AARTIDRUGS,Health Technology,Pharmaceuticals: Major,NSE,449746.02
,DBCORP,Consumer Services,Publishing: Newspapers,NSE,475996.835259
,SOLARINDS,Process Industries,Industrial Specialties,NSE,6087718.450125
,RENUKA,Process Industries,Agricultural Commodities/Milling,NSE,1003582.9279695
,ACLGATI,,,,161689.65388549998
,DALMIASUG,Process Industries,Agricultural Commodities/Milling,NSE,333996.0338295
,TMB,Finance,Regional Banks,NSE,798803.909703
,ASTERDM,Health Services,Hospital/Nursing Management,NSE,2047004.51988
,GICRE,Finance,Specialty Insurance,NSE,5404429.2
,BARBEQUE,Consumer Services,Restaurants,NSE,261050.0489145
,ZENSARTECH,Technology Services,Packaged Software,NSE,1383254.1015479998
,SUNDRMFAST,Producer Manufacturing,Auto Parts: OEM,NSE,2624293.21293
,TATAMTRDVR,,,,
,RALLIS,Process Industries,Chemicals: Agricultural,NSE,485880.521665
,CONCORDBIO,,,,1539741.290472
,NUVOCO,Non-Energy Minerals,Construction Materials,NSE,1366122.285225
,VINATIORGA,Process Industries,Chemicals: Specialty,NSE,1791953.650725
,MOTILALOFS,Finance,Investment Banks/Brokers,NSE,1843042.148636
,CENTURYPLY,Producer Manufacturing,Building Products,NSE,1715064.396305
,GRANULES,Health Technology,Pharmaceuticals: Other,NSE,982683.959022
,VSTTILLERS,Producer Manufacturing,Trucks/Construction/Farm Machinery,NSE,326427.286424
,ELECTCAST,Non-Energy Minerals,Steel,NSE,658228.008429
,JAMNAAUTO,Producer Manufacturing,Auto Parts: OEM,NSE,445495.215545
,IEX,Finance,Investment Banks/Brokers,NSE,1498043.7948
,SEQUENT,Health Technology,Pharmaceuticals: Major,NSE,283730.6005625
,AUBANK,Finance,Finance/Rental/Leasing,NSE,5264624.100652
,DHANI,Finance,Finance/Rental/Leasing,NSE,234054.535532
,HFCL,Electronic Technology,Telecommunications Equipment,NSE,1202312.321298
,CHOLAHLDNG,Finance,Finance/Rental/Leasing,NSE,1952979.493531
,MRF,Consumer Durables,Automotive Aftermarket,NSE,5495641.2908275
,HOMEFIRST,Finance,Finance/Rental/Leasing,NSE,821762.268234
,SCHNEIDER,Distribution Services,Wholesale Distributors,NSE,978413.71122
,NETWORK18,Consumer Services,Broadcasting,NSE,914509.5313465
,COROMANDEL,Process Industries,Chemicals: Specialty,NSE,3684776.6057285
,SSWL,Producer Manufacturing,Auto Parts: OEM,NSE,406760.8104
,VRLLOG,Transportation,Trucking,NSE,680642.4572275
,KRBL,Process Industries,Agricultural Commodities/Milling,NSE,858565.984892
,SUBEXLTD,Technology Services,Packaged Software,NSE,190799.9964325
,PEL,Finance,Investment Managers,NSE,2092517.7018
,HCG,Health Services,Hospital/Nursing Management,NSE,509065.793985
,SUNTV,Consumer Services,Broadcasting,NSE,2806670.66364
,HGS,Commercial Services,Miscellaneous Commercial Services,NSE,460364.74036
,COFORGE,Technology Services,Information Technology Services,NSE,3869387.155128
,ABCAPITAL,Finance,Multi-Line Insurance,NSE,4325673.687295999
,ANANDRATHI,Finance,Investment Managers,NSE,1082617.305179
,ZYDUSWELL,Consumer Non-Durables,Food: Major Diversified,NSE,1069719.972784
,NOCIL,Process Industries,Chemicals: Specialty,NSE,455859.3260275
,IOLCP,Process Industries,Chemicals: Specialty,NSE,271982.590766
,KNRCON,Industrial Services,Engineering & Construction,NSE,721226.1317
,HGINFRA,Industrial Services,Engineering & Construction,NSE,552357.7512805001
,CAMLINFINE,Process Industries,Chemicals: Specialty,NSE,227403.627906
,RAYMOND,Process Industries,Textiles,NSE,1147165.2457265
,IIFL,Finance,Finance/Rental/Leasing,NSE,2280873.4456725
,UFLEX,Process Industries,Containers/Packaging,NSE,348709.265894
,VENKEYS,Process Industries,Agricultural Commodities/Milling,NSE,274900.25519
,DCMSHRIRAM,Producer Manufacturing,Industrial Conglomerates,NSE,1603710.572064
,CMSINFO,Finance,Investment Managers,NSE,598810.795224
,PRICOLLTD,Producer Manufacturing,Auto Parts: OEM,NSE,462966.87015300005
,JKCEMENT,Non-Energy Minerals,Construction Materials,NSE,2927114.5185075
,MINDACORP,Producer Manufacturing,Auto Parts: OEM,NSE,923444.29065
,EVEREADY,Producer Manufacturing,Electrical Products,NSE,251606.95049
,UNICHEMLAB,Health Technology,Pharmaceuticals: Major,NSE,285776.93925
,SUNDARMFIN,Finance,Finance/Rental/Leasing,NSE,3897856.72038
,NLCINDIA,Utilities,Electric Utilities,NSE,3514430.4855105
,INDIACEM,Non-Energy Minerals,Construction Materials,NSE,802323.8533889999
,ASHOKA,Industrial Services,Engineering & Construction,NSE,390907.0796725
,AEGISCHEM,Distribution Services,Wholesale Distributors,NSE,1235169.0
,TIIL,Producer Manufacturing,Metal Fabrication,NSE,582515.037503
,PATANJALI,Process Industries,Agricultural Commodities/Milling,NSE,5701418.93475
,NRBBEARING,Producer Manufacturing,Auto Parts: OEM,NSE,325514.5521
,ACI,Process Industries,Chemicals: Major Diversified,NSE,801710.107593
,UNOMINDA,Producer Manufacturing,Auto Parts: OEM,NSE,3941110.799901
,BBTC,Consumer Non-Durables,Food: Major Diversified,NSE,1098419.0217
,HBLPOWER,Producer Manufacturing,Electrical Products,NSE,1209678.744344
,DALBHARAT,Producer Manufacturing,Miscellaneous Manufacturing,NSE,4267083.655008
,JBMA,Producer Manufacturing,Auto Parts: OEM,NSE,1731374.521386
,SWANENERGY,Utilities,Electric Utilities,NSE,1348615.87
,RAJRATAN,Producer Manufacturing,Metal Fabrication,NSE,396216.884
,AHLUCONT,Industrial Services,Engineering & Construction,NSE,519488.5278
,NCC,Consumer Durables,Homebuilding,NSE,1046934.18549
,360ONE,Finance,Investment Managers,NSE,2543842.935628
,JKTYRE,Consumer Durables,Automotive Aftermarket,NSE,980737.59504
,TATAMETALI,Non-Energy Minerals,Steel,NSE,339173.9275
,JKIL,Industrial Services,Engineering & Construction,NSE,436816.966138
,RBA,Consumer Services,Restaurants,NSE,554802.342666
,LALPATHLAB,Health Services,Medical/Nursing Services,NSE,2151808.591004
,SIYSIL,Process Industries,Textiles,NSE,242525.805404
,HUDCO,Finance,Finance/Rental/Leasing,NSE,2521393.05
,JSL,Non-Energy Minerals,Steel,NSE,4710869.277948
,HEIDELBERG,Non-Energy Minerals,Construction Materials,NSE,527328.720932
,CENTURYTEX,Process Industries,Textiles,NSE,1365535.53584
,HATHWAY,Consumer Services,Cable/Satellite TV,NSE,375262.154
,HARSHA,Producer Manufacturing,Metal Fabrication,NSE,357894.376755
,GMDCLTD,Distribution Services,Wholesale Distributors,NSE,1294260.0
,OBEROIRLTY,Finance,Real Estate Development,NSE,5248052.8877395
,ITI,Communications,Major Telecommunications,NSE,2926381.169679
,BECTORFOOD,Consumer Non-Durables,Food: Specialty/Candy,NSE,657579.35932
,DCBBANK,Finance,Regional Banks,NSE,414644.2979115
,SHARDACROP,Distribution Services,Wholesale Distributors,NSE,408518.40136
,GODREJAGRO,Process Industries,Agricultural Commodities/Milling,NSE,1071479.450219
,FIVESTAR,Finance,Financial Conglomerates,NSE,2147564.427855
,CARTRADE,Technology Services,Internet Software/Services,NSE,334374.280929
,GRINDWELL,Process Industries,Industrial Specialties,NSE,2578779.52
,SUDARSCHEM,Process Industries,Chemicals: Specialty,NSE,380057.6025
,TATACOMM,Communications,Major Telecommunications,NSE,5045355.0
,AMIORG,Health Technology,Pharmaceuticals: Major,NSE,413799.90564
,FINCABLES,Producer Manufacturing,Electrical Products,NSE,1635151.0070675
,NATCOPHARM,Health Technology,Pharmaceuticals: Major,NSE,1474211.477511
,TECHNOE,Industrial Services,Engineering & Construction,NSE,860790.7234715
,UBL,Consumer Non-Durables,Beverages: Alcoholic,NSE,4720028.517373499
,DATAMATICS,Technology Services,Packaged Software,NSE,427336.687275
,PRIVISCL,Process Industries,Chemicals: Major Diversified,NSE,459475.079325
,KIRLOSBROS,Producer Manufacturing,Industrial Machinery,NSE,705190.967343
,MTARTECH,Electronic Technology,Aerospace & Defense,NSE,679264.048053
,CEATLTD,Consumer Durables,Automotive Aftermarket,NSE,981723.73284
,JUBLINGREA,Process Industries,Chemicals: Major Diversified,NSE,810103.8729539999
,CERA,Consumer Durables,Home Furnishings,NSE,1020609.950402
,JTLIND,Non-Energy Minerals,Steel,NSE,406021.50904
,KTKBANK,Finance,Regional Banks,NSE,811563.5137814999
,MSUMI,Producer Manufacturing,Auto Parts: OEM,NSE,2730034.14801
,DWARKESH,Process Industries,Agricultural Commodities/Milling,NSE,163633.97743
,GUJALKALI,Process Industries,Chemicals: Specialty,NSE,570485.917235
,BLUESTARCO,Producer Manufacturing,Industrial Machinery,NSE,1947172.04236
,APCOTEXIND,Process Industries,Chemicals: Specialty,NSE,264253.76112
,BATAINDIA,Consumer Non-Durables,Apparel/Footwear,NSE,2122503.79556
,ZFCVINDIA,Producer Manufacturing,Auto Parts: OEM,NSE,3036122.203296
,BSOFT,Technology Services,Packaged Software,NSE,1988287.775133
,ROUTE,Communications,Major Telecommunications,NSE,1001028.507036
,ISGEC,Industrial Services,Engineering & Construction,NSE,721618.61114
,TATAELXSI,Technology Services,Information Technology Services,NSE,5451337.03718
,CIGNITITEC,Technology Services,Information Technology Services,NSE,291291.89628
,JUSTDIAL,Technology Services,Internet Software/Services,NSE,682097.880954
,UNIPARTS,Distribution Services,Wholesale Distributors,NSE,260850.554361
,EMAMILTD,Consumer Non-Durables,Household/Personal Care,NSE,2460768.75
,VGUARD,Producer Manufacturing,Electrical Products,NSE,1267855.779501
,PAYTM,Technology Services,Packaged Software,NSE,4033980.9551765
,MAPMYINDIA,Commercial Services,Miscellaneous Commercial Services,NSE,1051346.928588
,ASAHIINDIA,Consumer Durables,Home Furnishings,NSE,1401656.542146
,JUBLFOOD,Consumer Services,Restaurants,NSE,3728455.3026
,COSMOFIRST,Process Industries,Containers/Packaging,NSE,160097.084973
,DBL,Industrial Services,Engineering & Construction,NSE,562488.993437
,HLEGLAS,Producer Manufacturing,Industrial Machinery,NSE,368565.32652
,ASHOKLEY,Producer Manufacturing,Trucks/Construction/Farm Machinery,NSE,5330539.069577999
,SUPRAJIT,Producer Manufacturing,Auto Parts: OEM,NSE,562803.8538775
,TTKPRESTIG,Consumer Durables,Home Furnishings,NSE,1027545.73026
,LINDEINDIA,Process Industries,Chemicals: Specialty,NSE,4810200.745646
,MEDPLUS,Retail Trade,Drugstore Chains,NSE,896036.296155
,IONEXCHANG,Producer Manufacturing,Industrial Machinery,NSE,824559.56898
,AMBER,Producer Manufacturing,Industrial Machinery,NSE,1056433.241774
,MOIL,Non-Energy Minerals,Other Metals/Minerals,NSE,628769.30199
,OFSS,Technology Services,Packaged Software,NSE,3649032.445616
,NAVA,Utilities,Electric Utilities,NSE,635903.546035
,MCX,Finance,Investment Banks/Brokers,NSE,
,MIDHANI,Non-Energy Minerals,Other Metals/Minerals,NSE,783362.21
,BALMLAWRIE,Producer Manufacturing,Industrial Conglomerates,NSE,374241.916971
,PGHL,Health Technology,Pharmaceuticals: Major,NSE,821295.922905
,PRINCEPIPE,Producer Manufacturing,Industrial Machinery,NSE,821192.4142725
,MAZDOCK,Producer Manufacturing,Trucks/Construction/Farm Machinery,NSE,4600347.21
,JINDWORLD,Process Industries,Textiles,NSE,608378.8936
,BALRAMCHIN,Process Industries,Agricultural Commodities/Milling,NSE,828079.7761025
,LXCHEM,Process Industries,Chemicals: Specialty,NSE,799298.326549
,FSL,Commercial Services,Miscellaneous Commercial Services,NSE,1288387.541861
,PFIZER,Health Technology,Pharmaceuticals: Major,NSE,1952947.805214
,POONAWALLA,Finance,Finance/Rental/Leasing,NSE,3348032.6443795003
,CGCL,Finance,Finance/Rental/Leasing,NSE,1587287.6236245
,KRSNAA,Health Services,Medical/Nursing Services,NSE,227965.72678
,GODREJPROP,Finance,Real Estate Development,NSE,5597911.051673001
,VESUVIUS,Non-Energy Minerals,Construction Materials,NSE,728913.41712
,BDL,Electronic Technology,Aerospace & Defense,NSE,3138416.484375
,CAPLIPOINT,Health Technology,Pharmaceuticals: Major,NSE,1029870.426879
,ROLEXRINGS,Producer Manufacturing,Metal Fabrication,NSE,686333.9290240001
,POLYMED,Health Technology,Medical Specialties,NSE,1429474.751458
,GREAVESCOT,Producer Manufacturing,Trucks/Construction/Farm Machinery,NSE,352523.95289550006
,JTEKTINDIA,Consumer Durables,Automotive Aftermarket,NSE,388112.7445375
,SCHAEFFLER,Producer Manufacturing,Metal Fabrication,NSE,5006406.5501
,GLOBUSSPR,Consumer Non-Durables,Beverages: Alcoholic,NSE,251563.209766
,DEEPAKFERT,Process Industries,Chemicals: Agricultural,NSE,857659.78305
,POLYCAB,Producer Manufacturing,Electrical Products,NSE,8236220.5161075
,RECLTD,Finance,Finance/Rental/Leasing,NSE,10871265.284
,LUXIND,Consumer Non-Durables,Apparel/Footwear,NSE,390931.853
,ITDCEM,Industrial Services,Engineering & Construction,NSE,490711.233696
,SYRMA,Electronic Technology,Electronic Production Equipment,NSE,1191595.89351
,BLUEDART,Transportation,Air Freight/Couriers,NSE,1746957.276783
,PAGEIND,Consumer Non-Durables,Apparel/Footwear,NSE,4295663.608935
,NMDC,Non-Energy Minerals,Other Metals/Minerals,NSE,6144015.164525
,MAHSEAMLES,Non-Energy Minerals,Steel,NSE,1239962.078382
,ORIENTELEC,Consumer Durables,Electronics/Appliances,NSE,484233.9077805
,RELINFRA,Utilities,Electric Utilities,NSE,831083.245012
,EMUDHRA,Technology Services,Packaged Software,NSE,352496.755065
,RAINBOW,Health Services,Hospital/Nursing Management,NSE,1210965.8767535
,UJJIVANSFB,Finance,Regional Banks,NSE,1113272.883926
,AUROPHARMA,Health Technology,Pharmaceuticals: Other,NSE,6351574.52156
,JCHAC,Consumer Durables,Electronics/Appliances,NSE,303504.647208
,EASEMYTRIP,Consumer Services,Other Consumer Services,NSE,715018.389363
,JAICORPLTD,Process Industries,Containers/Packaging,NSE,693186.733145
,BANKINDIA,Finance,Major Banks,NSE,5126304.017116
,APOLLOPIPE,Finance,Finance/Rental/Leasing,NSE,269417.875203
,SUNFLAG,Non-Energy Minerals,Steel,NSE,377289.414388
,GODREJIND,Process Industries,Agricultural Commodities/Milling,NSE,2506488.913446
,CCL,Consumer Non-Durables,Food: Specialty/Candy,NSE,856367.235
,CESC,Utilities,Electric Utilities,NSE,1756380.81975
,KIRIINDUS,Process Industries,Chemicals: Specialty,NSE,206403.828202
,TVSSCS,,,,870856.1070719999
,CDSL,Finance,Investment Banks/Brokers,NSE,1906498.0
,IKIO,,,,246023.1116335
,LANDMARK,Retail Trade,Specialty Stores,NSE,342989.289918
,POWERMECH,Industrial Services,Engineering & Construction,NSE,677466.000903
,DIXON,Electronic Technology,Electronic Production Equipment,NSE,3927782.9826625
,HERITGFOOD,Consumer Non-Durables,Food: Meat/Fish/Dairy,NSE,281450.268
,CHOICEIN,Commercial Services,Miscellaneous Commercial Services,NSE,458003.98
,MAITHANALL,Non-Energy Minerals,Other Metals/Minerals,NSE,346631.22585
,ERIS,Health Technology,Pharmaceuticals: Major,NSE,1237811.5568
,HINDZINC,Non-Energy Minerals,Other Metals/Minerals,NSE,13438627.0795
,KKCL,Consumer Non-Durables,Apparel/Footwear,NSE,472048.9171
,PVRINOX,,,,1628074.640613
,JKPAPER,Process Industries,Pulp & Paper,NSE,689128.735392
,CONFIPET,Retail Trade,Specialty Stores,NSE,255263.163008
,TIRUMALCHM,Process Industries,Chemicals: Specialty,NSE,224793.11746
,ESCORTS,Producer Manufacturing,Auto Parts: OEM,NSE,3296273.623891
,MAHLOG,Transportation,Air Freight/Couriers,NSE,279392.2116535
,PTC,Utilities,Electric Utilities,NSE,562563.8140605
,HONAUT,Electronic Technology,Electronic Equipment/Instruments,NSE,3257835.97981
,FIEMIND,Producer Manufacturing,Auto Parts: OEM,NSE,276060.333825
,SUPRIYA,Health Technology,Pharmaceuticals: Major,NSE,253319.613
,EQUITASBNK,Finance,Regional Banks,NSE,1190616.18614
,GUFICBIO,Health Technology,Pharmaceuticals: Major,NSE,317328.167737
,LGBBROSLTD,Producer Manufacturing,Electrical Products,NSE,394995.07432
,EIDPARRY,Process Industries,Chemicals: Agricultural,NSE,988595.464279
,INDIAMART,Retail Trade,Internet Retail,NSE,1632572.429412
,PERSISTENT,Technology Services,Information Technology Services,NSE,5684295.95
,BEPL,Process Industries,Industrial Specialties,NSE,250849.32768
,MASFIN,Finance,Finance/Rental/Leasing,NSE,475423.1189925
,IRCON,Industrial Services,Engineering & Construction,NSE,1612043.97836
,KOLTEPATIL,Finance,Real Estate Development,NSE,371357.542374
,DCXINDIA,Producer Manufacturing,Electrical Products,NSE,330117.889123
,IBREALEST,Finance,Real Estate Development,NSE,472070.0509665
,SUNTECK,Finance,Real Estate Development,NSE,652664.4387935
,GESHIP,Transportation,Marine Shipping,NSE,1394549.6286479998
,JINDALPOLY,Process Industries,Containers/Packaging,NSE,277671.5380395
,TITAGARH,,,,1405320.76908
,MAXHEALTH,Health Services,Hospital/Nursing Management,NSE,6669156.1651875
,SOBHA,Finance,Real Estate Development,NSE,934895.573021
,NYKAA,Retail Trade,Internet Retail,NSE,4964808.9803725
,SPARC,Health Technology,Pharmaceuticals: Major,NSE,930664.732344
,INDIGOPNTS,Process Industries,Industrial Specialties,NSE,709597.56791
,MANAPPURAM,Finance,Finance/Rental/Leasing,NSE,1455867.73388
,ENGINERSIN,Industrial Services,Engineering & Construction,NSE,963621.6485085
,BALKRISIND,Consumer Durables,Automotive Aftermarket,NSE,4965448.683745
,EDELWEISS,Finance,Investment Banks/Brokers,NSE,734697.5231160001
,BLS,Technology Services,Data Processing Services,NSE,1315100.460152
,AAVAS,Finance,Finance/Rental/Leasing,NSE,1212567.4123875
,ZEEL,Consumer Services,Broadcasting,NSE,2638546.84674
,ANANTRAJ,Consumer Durables,Homebuilding,NSE,956408.284585
,DIVGIITTS,Producer Manufacturing,Auto Parts: OEM,NSE,299942.0565525
,IDEA,Communications,Wireless Telecommunications,NSE,7788750.2728
,MPHASIS,Technology Services,Packaged Software,NSE,5171663.0872725
,STAR,Health Technology,Pharmaceuticals: Major,NSE,596533.26327
,PRAJIND,Industrial Services,Engineering & Construction,NSE,1021444.76928
,UNIONBANK,Finance,Major Banks,NSE,8828225.826446999
,SURYAROSNI,Non-Energy Minerals,Steel,NSE,845569.864934
,NBCC,Commercial Services,Miscellaneous Commercial Services,NSE,1467900.0
,RTNINDIA,Commercial Services,Miscellaneous Commercial Services,NSE,1053980.5639
,JINDALSAW,Non-Energy Minerals,Steel,NSE,1317546.8390985
,DEN,Consumer Services,Cable/Satellite TV,NSE,272494.815495
,CGPOWER,Producer Manufacturing,Electrical Products,NSE,6939976.651136
,HINDOILEXP,Energy Minerals,Integrated Oil,NSE,240974.06745
,INDHOTEL,Consumer Services,Hotels/Resorts/Cruise lines,NSE,6226324.899157
,MANKIND,,,,7941665.823
,WSTCSTPAPR,Producer Manufacturing,Office Equipment/Supplies,NSE,481760.734952
,TIPSINDLTD,Consumer Services,Movies/Entertainment,NSE,439090.51121
,ASTEC,Process Industries,Chemicals: Agricultural,NSE,214769.828715
,BHEL,Producer Manufacturing,Electrical Products,NSE,6739533.6236025
,MFSL,Finance,Life/Health Insurance,NSE,3293430.259653
,CUMMINSIND,Producer Manufacturing,Auto Parts: OEM,NSE,5444069.4
,SAREGAMA,Consumer Services,Movies/Entertainment,NSE,714744.77943
,KAYNES,Electronic Technology,Electronic Production Equipment,NSE,1668613.2547014998
,WELCORP,Producer Manufacturing,Industrial Machinery,NSE,1434327.0849425
,GOKEX,Consumer Non-Durables,Apparel/Footwear,NSE,500920.688946
,LATENTVIEW,Commercial Services,Miscellaneous Commercial Services,NSE,936965.9290255
,PETRONET,Utilities,Gas Distributors,NSE,3339750.195932
,PSPPROJECT,Industrial Services,Engineering & Construction,NSE,275940.0
,SPANDANA,Finance,Finance/Rental/Leasing,NSE,803136.519143
,CHENNPETRO,Energy Minerals,Oil Refining/Marketing,NSE,1036423.344
,PFC,Finance,Finance/Rental/Leasing,NSE,12626189.33376
,RESPONIND,Non-Energy Minerals,Forest Products,NSE,818220.88185
,STYLAMIND,Non-Energy Minerals,Forest Products,NSE,291811.69708
,GSFC,Process Industries,Chemicals: Agricultural,NSE,961924.75742
,DISHTV,Communications,Specialty Telecommunications,NSE,336949.857882
,ALOKINDS,Process Industries,Textiles,NSE,1060078.8256135
,PGEL,Electronic Technology,Electronic Production Equipment,NSE,617720.97372
,THYROCARE,Health Services,Medical/Nursing Services,NSE,340776.946398
,RPOWER,Utilities,Electric Utilities,NSE,888005.6310780001
,RTNPOWER,Utilities,Electric Utilities,NSE,483309.5274
,ARVIND,Process Industries,Textiles,NSE,683967.511773
,WABAG,Industrial Services,Engineering & Construction,NSE,390431.506984
,UJJIVAN,Finance,Finance/Rental/Leasing,NSE,687948.82704
,SUVENPHAR,Producer Manufacturing,Industrial Conglomerates,NSE,1839995.501968
,OIL,Energy Minerals,Oil Refining/Marketing,NSE,4035613.929471
,CARERATING,Commercial Services,Financial Publishing/Services,NSE,283319.34462
,GMRINFRA,Transportation,Other Transportation,NSE,4861953.9190125
,APLAPOLLO,Non-Energy Minerals,Steel,NSE,4264805.399552
,MRPL,Energy Minerals,Oil Refining/Marketing,NSE,2333585.2715755
,TIINDIA,Non-Energy Minerals,Steel,NSE,6848575.5525075
,TRIDENT,Process Industries,Textiles,NSE,1849831.90821
,ELECON,Producer Manufacturing,Electrical Products,NSE,1040037.5755675
,PNCINFRA,Industrial Services,Engineering & Construction,NSE,901606.8953925
,HINDPETRO,Energy Minerals,Oil Refining/Marketing,NSE,5658589.348205
,RAIN,Process Industries,Industrial Specialties,NSE,518981.382697
,SUPREMEIND,Producer Manufacturing,Miscellaneous Manufacturing,NSE,5770767.190665
,TV18BRDCST,Consumer Services,Broadcasting,NSE,865751.881305
,TARSONS,Process Industries,Containers/Packaging,NSE,280556.719713
,PHOENIXLTD,Finance,Real Estate Development,NSE,4010390.1627955
,PCBL,Process Industries,Industrial Specialties,NSE,949507.180362
,SHYAMMETL,Producer Manufacturing,Metal Fabrication,NSE,1601396.559264
,INDUSTOWER,Finance,Finance/Rental/Leasing,NSE,5364271.998975
,SWSOLAR,Industrial Services,Engineering & Construction,NSE,1007275.3547695
,CRAFTSMAN,Producer Manufacturing,Trucks/Construction/Farm Machinery,NSE,1142249.3134375
,MSTCLTD,Retail Trade,Internet Retail,NSE,471116.8
,ASTRAL,Producer Manufacturing,Miscellaneous Manufacturing,NSE,5124194.5101795
,METROBRAND,Retail Trade,Apparel/Footwear Retail,NSE,3458671.860518
,SIS,Commercial Services,Miscellaneous Commercial Services,NSE,662082.068879
,CYIENT,Commercial Services,Miscellaneous Commercial Services,NSE,2539983.7716715
,IRB,Industrial Services,Engineering & Construction,NSE,2509204.5
,DATAPATTNS,Electronic Technology,Electronic Production Equipment,NSE,1041973.631028
,TATAINVEST,Finance,Investment Banks/Brokers,NSE,2166515.872368
,VIPIND,Consumer Durables,Other Consumer Specialties,NSE,848277.27669
,VAIBHAVGBL,Consumer Durables,Other Consumer Specialties,NSE,656754.382914
,MANYAVAR,Retail Trade,Internet Retail,NSE,3078732.65739
,JPASSOCIAT,Producer Manufacturing,Industrial Conglomerates,NSE,486009.93672
,THOMASCOOK,Finance,Regional Banks,NSE,639011.9934769999
