Company,Symbol,Sector,Industry,Exchange,MarketCap
,IOC,Energy Minerals,Integrated Oil,NSE,18336428.0403255
,ADANIENSOL,,,,11665264.7324725
,ADANIGREEN,Utilities,Electric Utilities,NSE,25296998.67366
,TVSMOTOR,Consumer Durables,Motor Vehicles,NSE,9624314.755412
,INDIGO,Transportation,Airlines,NSE,11451378.189598
,BOSCHLTD,Producer Manufacturing,Auto Parts: OEM,NSE,6548708.83832
,ATGL,Utilities,Gas Distributors,NSE,10865573.7149985
,MOTHERSON,Producer Manufacturing,Auto Parts: OEM,NSE,6908561.582637
,AWL,Process Industries,Agricultural Commodities/Milling,NSE,4612559.369145
,BAJAJHLDNG,Finance,Financial Conglomerates,NSE,8541331.71846
,ICICIGI,Finance,Specialty Insurance,NSE,6989615.652393
,PGHH,Consumer Non-Durables,Household/Personal Care,NSE,5637147.644128
,DABUR,Consumer Non-Durables,Household/Personal Care,NSE,9873789.66252
,HAVELLS,Producer Manufacturing,Electrical Products,NSE,8572710.508885
,MUTHOOTFIN,Finance,Finance/Rental/Leasing,NSE,5926725.059283
,MCDOWELL-N,,,,8129964.1594075
,DMART,Retail Trade,Specialty Stores,NSE,26567153.600702003
,GAIL,Utilities,Gas Distributors,NSE,10658236.522924
,PIDILITIND,Process Industries,Industrial Specialties,NSE,13809215.53649
,SBICARD,Finance,Finance/Rental/Leasing,NSE,7221762.1405585
,HAL,Electronic Technology,Aerospace & Defense,NSE,18752451.0
,BEL,Electronic Technology,Aerospace & Defense,NSE,13464612.603018
,VBL,Consumer Non-Durables,Beverages: Non-Alcoholic,NSE,16069990.038144
,GODREJCP,Consumer Non-Durables,Household/Personal Care,NSE,11570143.561648
,SHRIRAMFIN,Finance,Finance/Rental/Leasing,NSE,7710994.502419
,ABB,Producer Manufacturing,Electrical Products,NSE,9906398.6686875
,CHOLAFIN,Finance,Finance/Rental/Leasing,NSE,10577709.88788
,BCG,Technology Services,Packaged Software,NSE,390467.8824255
,GODFRYPHLP,Consumer Non-Durables,Tobacco,NSE,1096473.78192
,POLICYBZR,Technology Services,Internet Software/Services,NSE,3580969.867311
,IFCI,Finance,Regional Banks,NSE,725722.4410645
,PTCIL,Producer Manufacturing,Metal Fabrication,BSE,813755.7633855001
,IMFA,Non-Energy Minerals,Other Metals/Minerals,NSE,269419.828311
,SHILPAMED,Health Technology,Pharmaceuticals: Major,NSE,286706.669094
,UCOBANK,Finance,Regional Banks,NSE,4752493.37496
,MOL,Process Industries,Chemicals: Specialty,NSE,197856.456158
,ASTRAZEN,Health Technology,Pharmaceuticals: Major,NSE,1381650.0
,RATNAMANI,Non-Energy Minerals,Steel,NSE,2357369.19
,KPITTECH,Technology Services,Packaged Software,NSE,4150126.037408
,VTL,Process Industries,Textiles,NSE,1116648.4902
,USHAMART,Producer Manufacturing,Metal Fabrication,NSE,903407.00681
,KSCL,Process Industries,Agricultural Commodities/Milling,NSE,342577.12445400003
,CLEAN,Process Industries,Chemicals: Specialty,NSE,1645879.170495
,APLLTD,Health Technology,Pharmaceuticals: Major,NSE,1492700.363656
,FUSION,Finance,Finance/Rental/Leasing,NSE,582301.67314
,VOLTAS,Producer Manufacturing,Industrial Machinery,NSE,3237210.85379
,AVANTIFEED,Process Industries,Agricultural Commodities/Milling,NSE,572299.768815
,AETHER,Process Industries,Chemicals: Major Diversified,NSE,1176118.572329
,AIAENG,Producer Manufacturing,Industrial Machinery,NSE,3479950.05115
,PRSMJOHNSN,Non-Energy Minerals,Construction Materials,NSE,924917.71575
,HEMIPROP,Finance,Real Estate Development,NSE,436620.0
,ZENTEC,Technology Services,Information Technology Services,NSE,667815.68996
,KEC,Industrial Services,Engineering & Construction,NSE,1514764.67604
,GRAVITA,Non-Energy Minerals,Other Metals/Minerals,NSE,756759.0943110001
,UTIAMC,Finance,Investment Managers,NSE,1102147.25292
,GANESHHOUC,Finance,Real Estate Development,NSE,347348.923395
,ACE,Producer Manufacturing,Trucks/Construction/Farm Machinery,NSE,987378.319634
,BAYERCROP,Process Industries,Chemicals: Agricultural,NSE,
,ALKYLAMINE,Process Industries,Chemicals: Specialty,NSE,1296284.173695
,ISEC,Finance,Investment Banks/Brokers,NSE,2320496.5892
,PAISALO,Finance,Finance/Rental/Leasing,NSE,414447.29677
,CAMS,Finance,Regional Banks,NSE,1302432.90444
,NSLNISP,Non-Energy Minerals,Steel,NSE,1506331.4069
,BORORENEW,Process Industries,Industrial Specialties,NSE,574213.765205
,DEVYANI,Consumer Services,Restaurants,NSE,2336351.576125
,RUPA,Consumer Non-Durables,Apparel/Footwear,NSE,213483.68132
,WOCKPHARMA,Health Technology,Pharmaceuticals: Major,NSE,611494.6006755
,DELHIVERY,Transportation,Air Freight/Couriers,NSE,2861153.1842625
,TRIVENI,Process Industries,Agricultural Commodities/Milling,NSE,754541.2956960001
,SYNGENE,Commercial Services,Miscellaneous Commercial Services,NSE,2819934.2175
,POWERINDIA,Electronic Technology,Electronic Equipment/Instruments,NSE,2231119.7078625
,SBCL,Non-Energy Minerals,Other Metals/Minerals,NSE,317139.9231
,TORNTPOWER,Utilities,Electric Utilities,NSE,4488239.837384
,AARTIPHARM,Process Industries,Chemicals: Major Diversified,NSE,457162.897356
,KIRLOSENG,Producer Manufacturing,Electrical Products,NSE,949669.798663
,TIDEWATER,Energy Minerals,Oil Refining/Marketing,NSE,246401.496
,ADVENZYMES,Consumer Non-Durables,Food: Specialty/Candy,NSE,419731.6655125
,GATEWAY,Non-Energy Minerals,Precious Metals,NSE,518630.301768
,THERMAX,Producer Manufacturing,Industrial Machinery,NSE,3671801.3845
,BALAMINES,Process Industries,Chemicals: Specialty,NSE,864620.685
,SCI,Transportation,Air Freight/Couriers,NSE,758786.58729
,APARINDS,Electronic Technology,Electronic Equipment/Instruments,NSE,2431548.78021
,CHALET,Consumer Services,Hotels/Resorts/Cruise lines,NSE,1430471.4160079998
,ARE&M,,,,1393830.0
,AJANTPHARM,Health Technology,Pharmaceuticals: Major,NSE,2669679.7921575
,GUJGASLTD,Utilities,Gas Distributors,NSE,3176920.426875
,COCHINSHIP,Producer Manufacturing,Trucks/Construction/Farm Machinery,NSE,1780991.110405
,AVALON,,,,361719.411834
,M&MFIN,,,,3418711.28864
,ANGELONE,Finance,Investment Banks/Brokers,NSE,2927791.8564
,PNBHOUSING,Finance,Finance/Rental/Leasing,NSE,2027460.797235
,ARVINDFASN,Retail Trade,Apparel/Footwear Retail,NSE,545213.0635444999
,ENDURANCE,Producer Manufacturing,Metal Fabrication,NSE,2719294.177536
,SAFARI,Consumer Durables,Other Consumer Specialties,NSE,928202.830389
,INFIBEAM,Commercial Services,Miscellaneous Commercial Services,NSE,597350.60049
,CHEMPLASTS,Process Industries,Chemicals: Major Diversified,NSE,790468.815213
,GSPL,Utilities,Gas Distributors,NSE,1726486.81056
,DODLA,Consumer Non-Durables,Food: Meat/Fish/Dairy,NSE,522465.19877
,APTUS,Finance,Finance/Rental/Leasing,NSE,1595309.4931975
,KPIL,,,,1152068.109984
,ATUL,Process Industries,Chemicals: Agricultural,NSE,2111103.056755
,MEDANTA,Health Services,Hospital/Nursing Management,NSE,2574621.234453
,PPLPHARMA,Health Technology,Pharmaceuticals: Major,NSE,1836913.478505
,MAYURUNIQ,Process Industries,Textiles,NSE,247694.8773
,NAVNETEDUL,Producer Manufacturing,Office Equipment/Supplies,NSE,341808.116491
,PDSL,Consumer Non-Durables,Apparel/Footwear,NSE,726346.770968
,BOMDYEING,Process Industries,Textiles,NSE,318063.746
,FINPIPE,Producer Manufacturing,Miscellaneous Manufacturing,NSE,1309206.26955
,L&TFH,,,,4105747.749779
,ASTRAMICRO,Electronic Technology,Telecommunications Equipment,NSE,572613.343248
,NH,Health Services,Hospital/Nursing Management,NSE,2456314.683678
,TCI,Transportation,Trucking,NSE,639076.3709
,FINEORG,Process Industries,Chemicals: Major Diversified,NSE,1526330.25522
,DEEPAKNTR,Process Industries,Chemicals: Specialty,NSE,3384184.1332920003
,SUZLON,Producer Manufacturing,Electrical Products,NSE,5186296.929224
,ANURAS,Health Technology,Pharmaceuticals: Major,NSE,1132118.243104
,ESABINDIA,Producer Manufacturing,Electrical Products,NSE,905378.95385
,STARHEALTH,Finance,Life/Health Insurance,NSE,3124399.4557425
,IRFC,Finance,Finance/Rental/Leasing,NSE,12983560.711
,TDPOWERSYS,Producer Manufacturing,Electrical Products,NSE,406120.3476505
,KPRMILL,Consumer Non-Durables,Apparel/Footwear,NSE,2819281.872
,INGERRAND,Producer Manufacturing,Trucks/Construction/Farm Machinery,NSE,983106.44
,JKLAKSHMI,Non-Energy Minerals,Construction Materials,NSE,1058324.573604
,TVSHLTD,,,,1561989.241164
,KIMS,Health Services,Hospital/Nursing Management,NSE,1583909.960304
,CREDITACC,Finance,Finance/Rental/Leasing,NSE,2541324.5397585
,TEAMLEASE,Commercial Services,Personnel Services,NSE,536277.80645
,NEOGEN,Process Industries,Chemicals: Specialty,NSE,390461.966037
,AGI,Process Industries,Containers/Packaging,NSE,534465.064441
,RAMCOCEM,Non-Energy Minerals,Construction Materials,NSE,2411009.29933
,WONDERLA,Consumer Services,Movies/Entertainment,NSE,476941.3658295
,TI,Consumer Non-Durables,Beverages: Alcoholic,NSE,463537.446269
,TCIEXP,Transportation,Air Freight/Couriers,NSE,526882.90584
,SAPPHIRE,Consumer Services,Restaurants,NSE,905096.188341
,GOCOLORS,Consumer Non-Durables,Apparel/Footwear,NSE,676030.452728
,RAMKY,Industrial Services,Engineering & Construction,NSE,547908.109138
,NAM-INDIA,,,,2806484.780749
,TIMETECHNO,Process Industries,Containers/Packaging,NSE,400983.659622
,MANINFRA,Finance,Real Estate Development,NSE,804499.627635
,LLOYDSENGG,,,,472773.98196
,SARDAEN,Non-Energy Minerals,Steel,NSE,892405.566275
,FINOPB,Finance,Regional Banks,NSE,217147.721069
,SONATSOFTW,Technology Services,Information Technology Services,NSE,2082855.32084
,IBULHSGFIN,Finance,Finance/Rental/Leasing,NSE,1059353.0036475
,EPL,Process Industries,Containers/Packaging,NSE,642903.303381
,SUMICHEM,Process Industries,Chemicals: Agricultural,NSE,2016798.346308
,GRINFRA,Industrial Services,Engineering & Construction,NSE,1106315.65242
,BRIGADE,Finance,Real Estate Development,NSE,2070891.300865
,METROPOLIS,Health Services,Medical/Nursing Services,NSE,859608.742711
,GLAXO,Health Technology,Pharmaceuticals: Major,NSE,3215580.634371
,HCC,Industrial Services,Engineering & Construction,NSE,432726.077784
,SFL,Process Industries,Industrial Specialties,NSE,1348281.817764
,CENTRALBK,Finance,Major Banks,NSE,4349150.655432
,KARURVYSYA,Finance,Regional Banks,NSE,1355569.67946
,GPIL,Non-Energy Minerals,Steel,NSE,1066742.141678
,IFBIND,Consumer Durables,Electronics/Appliances,NSE,380653.829022
,ALLCARGO,Transportation,Marine Shipping,NSE,790402.500708
,TRITURBINE,Producer Manufacturing,Industrial Machinery,NSE,1348274.9264895
,CARBORUNIV,Process Industries,Industrial Specialties,NSE,2115887.590136
,BEML,Producer Manufacturing,Trucks/Construction/Farm Machinery,NSE,1178206.194
,PARADEEP,Process Industries,Chemicals: Agricultural,NSE,552800.7188605
,GREENLAM,Non-Energy Minerals,Forest Products,NSE,680734.068936
,LAXMIMACH,Producer Manufacturing,Industrial Machinery,NSE,1467710.6625
,KSB,Producer Manufacturing,Industrial Machinery,NSE,1206700.93187
,RATEGAIN,Technology Services,Packaged Software,NSE,857186.9230139999
,KAJARIACER,Producer Manufacturing,Building Products,NSE,2073065.2911
,POLYPLEX,Process Industries,Chemicals: Specialty,NSE,330044.64923700003
,JISLJALEQS,,,,423508.1674545
,JMFINANCIL,Finance,Investment Banks/Brokers,NSE,938913.755424
,HAPPSTMNDS,Technology Services,Data Processing Services,NSE,1364458.4439655
,DCAL,Health Technology,Pharmaceuticals: Major,NSE,268020.7009025
,KEI,Producer Manufacturing,Electrical Products,NSE,2932350.407091
,RELIGARE,Finance,Multi-Line Insurance,NSE,702629.2425975
,BAJAJCON,Consumer Non-Durables,Household/Personal Care,NSE,313241.948388
,VMART,Retail Trade,Specialty Stores,NSE,396462.001375
,CASTROLIND,Energy Minerals,Oil Refining/Marketing,NSE,1777947.48524
,MASTEK,Technology Services,Information Technology Services,NSE,863585.778144
,AFFLE,Technology Services,Packaged Software,NSE,1830774.21466
,JSWENERGY,Utilities,Electric Utilities,NSE,6727545.819954
,INTELLECT,Technology Services,Packaged Software,NSE,1142934.509064
,LEMONTREE,Consumer Services,Hotels/Resorts/Cruise lines,NSE,949507.387104
,KALYANKJIL,Retail Trade,Specialty Stores,NSE,3647417.874837
,OLECTRA,Consumer Durables,Motor Vehicles,NSE,1105463.365916
,WELSPUNLIV,,,,1403777.355138
,VOLTAMP,Producer Manufacturing,Electrical Products,NSE,659696.92672
,ABBOTINDIA,Health Technology,Pharmaceuticals: Major,NSE,
,SHANTIGEAR,Producer Manufacturing,Auto Parts: OEM,NSE,460678.697265
,ECLERX,Commercial Services,Miscellaneous Commercial Services,NSE,1270541.22976
,IOB,Finance,Major Banks,NSE,8184744.506848001
,BIRLACORPN,Non-Energy Minerals,Construction Materials,NSE,1109608.5475965
,J&KBANK,,,,1354454.42949
,RELAXO,Consumer Non-Durables,Apparel/Footwear,NSE,2249160.12451
,NESCO,Producer Manufacturing,Industrial Machinery,NSE,621950.06692
,AUTOAXLES,Producer Manufacturing,Auto Parts: OEM,NSE,324227.423625
,EXIDEIND,Producer Manufacturing,Auto Parts: OEM,NSE,2701725.0
,GPPL,Transportation,Marine Shipping,NSE,739904.782255
,HINDWAREAP,Producer Manufacturing,Building Products,NSE,367916.354155
,MAHABANK,Finance,Major Banks,NSE,3197240.1980085
,INDOCO,Health Technology,Pharmaceuticals: Major,NSE,364178.20296
,AARTIIND,Process Industries,Chemicals: Major Diversified,NSE,2354826.21136
,TATACHEM,Process Industries,Chemicals: Agricultural,NSE,2812764.065398
,GLAND,Health Technology,Pharmaceuticals: Major,NSE,3169688.508135
,LAURUSLABS,Health Technology,Pharmaceuticals: Major,NSE,2317276.27935
,GLENMARK,Health Technology,Pharmaceuticals: Major,NSE,2409574.968162
,DBREALTY,Finance,Real Estate Development,NSE,730678.9553919999
,IDFCFIRSTB,Finance,Regional Banks,NSE,6277712.785799
,3MINDIA,Producer Manufacturing,Industrial Conglomerates,NSE,4202901.863905
,GREENPLY,Producer Manufacturing,Building Products,NSE,295001.592075
,RADICO,Consumer Non-Durables,Beverages: Alcoholic,NSE,2217206.3267475
,CSBBANK,Finance,Major Banks,NSE,726298.4147355
,CONCOR,Transportation,Railroads,NSE,5237798.862582
,STYRENIX,Process Industries,Chemicals: Specialty,NSE,253874.8753125
,HIKAL,Health Technology,Pharmaceuticals: Major,NSE,374772.629625
