Company Name,Symbol,Sector,Industry,Exchange
,DCMSHRIRAM,Producer Manufacturing,Industrial Conglomerates,NSE
,CMSINFO,Finance,Investment Managers,NSE
,PRICOLLTD,Producer Manufacturing,Auto Parts: OEM,NSE
,JKCEMENT,Non-Energy Minerals,Construction Materials,NSE
,MINDACORP,Producer Manufacturing,Auto Parts: OEM,NSE
,EVEREADY,Producer Manufacturing,Electrical Products,NSE
,UNICHEMLAB,Health Technology,Pharmaceuticals: Major,NSE
,SUNDARMFIN,Finance,Finance/Rental/Leasing,NSE
,NLCINDIA,Utilities,Electric Utilities,NSE
,INDIACEM,Non-Energy Minerals,Construction Materials,NSE
,ASHOKA,Industrial Services,Engineering & Construction,NSE
,AEGISCHEM,Distribution Services,Wholesale Distributors,NSE
,TIIL,Producer Manufacturing,Metal Fabrication,NSE
,PATANJALI,Process Industries,Agricultural Commodities/Milling,NSE
,NRBBEARING,Producer Manufacturing,Auto Parts: OEM,NSE
,ACI,Process Industries,Chemicals: Major Diversified,NSE
,UNOMINDA,Producer Manufacturing,Auto Parts: OEM,NSE
,BBTC,Consumer Non-Durables,Food: Major Diversified,NSE
,HBLPOWER,Producer Manufacturing,Electrical Products,NSE
,DALBHARAT,Producer Manufacturing,Miscellaneous Manufacturing,NSE
,JBMA,Producer Manufacturing,Auto Parts: OEM,NSE
,SWANENERGY,Utilities,Electric Utilities,NSE
,RAJRATAN,Producer Manufacturing,Metal Fabrication,NSE
,AHLUCONT,Industrial Services,Engineering & Construction,NSE
,NCC,Consumer Durables,Homebuilding,NSE
,360ONE,Finance,Investment Managers,NSE
,JKTYRE,Consumer Durables,Automotive Aftermarket,NSE
,TATAMETALI,Non-Energy Minerals,Steel,NSE
,JKIL,Industrial Services,Engineering & Construction,NSE
,RBA,Consumer Services,Restaurants,NSE
,LALPATHLAB,Health Services,Medical/Nursing Services,NSE
,SIYSIL,Process Industries,Textiles,NSE
,HUDCO,Finance,Finance/Rental/Leasing,NSE
,JSL,Non-Energy Minerals,Steel,NSE
,HEIDELBERG,Non-Energy Minerals,Construction Materials,NSE
,CENTURYTEX,Process Industries,Textiles,NSE
,HATHWAY,Consumer Services,Cable/Satellite TV,NSE
,HARSHA,Producer Manufacturing,Metal Fabrication,NSE
,GMDCLTD,Distribution Services,Wholesale Distributors,NSE
,OBEROIRLTY,Finance,Real Estate Development,NSE
,ITI,Communications,Major Telecommunications,NSE
,BECTORFOOD,Consumer Non-Durables,Food: Specialty/Candy,NSE
,DCBBANK,Finance,Regional Banks,NSE
,SHARDACROP,Distribution Services,Wholesale Distributors,NSE
,GODREJAGRO,Process Industries,Agricultural Commodities/Milling,NSE
,FIVESTAR,Finance,Financial Conglomerates,NSE
,CARTRADE,Technology Services,Internet Software/Services,NSE
,GRINDWELL,Process Industries,Industrial Specialties,NSE
,SUDARSCHEM,Process Industries,Chemicals: Specialty,NSE
,TATACOMM,Communications,Major Telecommunications,NSE
,AMIORG,Health Technology,Pharmaceuticals: Major,NSE
,FINCABLES,Producer Manufacturing,Electrical Products,NSE
,NATCOPHARM,Health Technology,Pharmaceuticals: Major,NSE
,TECHNOE,Industrial Services,Engineering & Construction,NSE
,UBL,Consumer Non-Durables,Beverages: Alcoholic,NSE
,DATAMATICS,Technology Services,Packaged Software,NSE
,PRIVISCL,Process Industries,Chemicals: Major Diversified,NSE
,KIRLOSBROS,Producer Manufacturing,Industrial Machinery,NSE
,MTARTECH,Electronic Technology,Aerospace & Defense,NSE
,CEATLTD,Consumer Durables,Automotive Aftermarket,NSE
,JUBLINGREA,Process Industries,Chemicals: Major Diversified,NSE
,CERA,Consumer Durables,Home Furnishings,NSE
,JTLIND,Non-Energy Minerals,Steel,NSE
,KTKBANK,Finance,Regional Banks,NSE
,MSUMI,Producer Manufacturing,Auto Parts: OEM,NSE
,DWARKESH,Process Industries,Agricultural Commodities/Milling,NSE
,GUJALKALI,Process Industries,Chemicals: Specialty,NSE
,BLUESTARCO,Producer Manufacturing,Industrial Machinery,NSE
,APCOTEXIND,Process Industries,Chemicals: Specialty,NSE
,BATAINDIA,Consumer Non-Durables,Apparel/Footwear,NSE
,ZFCVINDIA,Producer Manufacturing,Auto Parts: OEM,NSE
,BSOFT,Technology Services,Packaged Software,NSE
,ROUTE,Communications,Major Telecommunications,NSE
,ISGEC,Industrial Services,Engineering & Construction,NSE
,TATAELXSI,Technology Services,Information Technology Services,NSE
,CIGNITITEC,Technology Services,Information Technology Services,NSE
,JUSTDIAL,Technology Services,Internet Software/Services,NSE
,UNIPARTS,Distribution Services,Wholesale Distributors,NSE
,EMAMILTD,Consumer Non-Durables,Household/Personal Care,NSE
,VGUARD,Producer Manufacturing,Electrical Products,NSE
,PAYTM,Technology Services,Packaged Software,NSE
,MAPMYINDIA,Commercial Services,Miscellaneous Commercial Services,NSE
,ASAHIINDIA,Consumer Durables,Home Furnishings,NSE
,JUBLFOOD,Consumer Services,Restaurants,NSE
,COSMOFIRST,Process Industries,Containers/Packaging,NSE
,DBL,Industrial Services,Engineering & Construction,NSE
,HLEGLAS,Producer Manufacturing,Industrial Machinery,NSE
,ASHOKLEY,Producer Manufacturing,Trucks/Construction/Farm Machinery,NSE
,SUPRAJIT,Producer Manufacturing,Auto Parts: OEM,NSE
,TTKPRESTIG,Consumer Durables,Home Furnishings,NSE
,LINDEINDIA,Process Industries,Chemicals: Specialty,NSE
,MEDPLUS,Retail Trade,Drugstore Chains,NSE
,IONEXCHANG,Producer Manufacturing,Industrial Machinery,NSE
,AMBER,Producer Manufacturing,Industrial Machinery,NSE
,MOIL,Non-Energy Minerals,Other Metals/Minerals,NSE
,OFSS,Technology Services,Packaged Software,NSE
,NAVA,Utilities,Electric Utilities,NSE
,MCX,Finance,Investment Banks/Brokers,NSE
,MIDHANI,Non-Energy Minerals,Other Metals/Minerals,NSE
,BALMLAWRIE,Producer Manufacturing,Industrial Conglomerates,NSE
,PGHL,Health Technology,Pharmaceuticals: Major,NSE
,PRINCEPIPE,Producer Manufacturing,Industrial Machinery,NSE
,MAZDOCK,Producer Manufacturing,Trucks/Construction/Farm Machinery,NSE
,JINDWORLD,Process Industries,Textiles,NSE
,BALRAMCHIN,Process Industries,Agricultural Commodities/Milling,NSE
,LXCHEM,Process Industries,Chemicals: Specialty,NSE
,FSL,Commercial Services,Miscellaneous Commercial Services,NSE
,PFIZER,Health Technology,Pharmaceuticals: Major,NSE
,POONAWALLA,Finance,Finance/Rental/Leasing,NSE
,CGCL,Finance,Finance/Rental/Leasing,NSE
,KRSNAA,Health Services,Medical/Nursing Services,NSE
,GODREJPROP,Finance,Real Estate Development,NSE
,VESUVIUS,Non-Energy Minerals,Construction Materials,NSE
,BDL,Electronic Technology,Aerospace & Defense,NSE
,CAPLIPOINT,Health Technology,Pharmaceuticals: Major,NSE
,ROLEXRINGS,Producer Manufacturing,Metal Fabrication,NSE
,POLYMED,Health Technology,Medical Specialties,NSE
,GREAVESCOT,Producer Manufacturing,Trucks/Construction/Farm Machinery,NSE
,JTEKTINDIA,Consumer Durables,Automotive Aftermarket,NSE
,SCHAEFFLER,Producer Manufacturing,Metal Fabrication,NSE
,GLOBUSSPR,Consumer Non-Durables,Beverages: Alcoholic,NSE
,DEEPAKFERT,Process Industries,Chemicals: Agricultural,NSE
,POLYCAB,Producer Manufacturing,Electrical Products,NSE
,RECLTD,Finance,Finance/Rental/Leasing,NSE
,LUXIND,Consumer Non-Durables,Apparel/Footwear,NSE
,ITDCEM,Industrial Services,Engineering & Construction,NSE
,SYRMA,Electronic Technology,Electronic Production Equipment,NSE
,BLUEDART,Transportation,Air Freight/Couriers,NSE
,PAGEIND,Consumer Non-Durables,Apparel/Footwear,NSE
,NMDC,Non-Energy Minerals,Other Metals/Minerals,NSE
,MAHSEAMLES,Non-Energy Minerals,Steel,NSE
,ORIENTELEC,Consumer Durables,Electronics/Appliances,NSE
,RELINFRA,Utilities,Electric Utilities,NSE
,EMUDHRA,Technology Services,Packaged Software,NSE
,RAINBOW,Health Services,Hospital/Nursing Management,NSE
,UJJIVANSFB,Finance,Regional Banks,NSE
,AUROPHARMA,Health Technology,Pharmaceuticals: Other,NSE
,JCHAC,Consumer Durables,Electronics/Appliances,NSE
,EASEMYTRIP,Consumer Services,Other Consumer Services,NSE
,JAICORPLTD,Process Industries,Containers/Packaging,NSE
,BANKINDIA,Finance,Major Banks,NSE
,APOLLOPIPE,Finance,Finance/Rental/Leasing,NSE
,SUNFLAG,Non-Energy Minerals,Steel,NSE
,GODREJIND,Process Industries,Agricultural Commodities/Milling,NSE
,CCL,Consumer Non-Durables,Food: Specialty/Candy,NSE
,CESC,Utilities,Electric Utilities,NSE
,KIRIINDUS,Process Industries,Chemicals: Specialty,NSE
,TVSSCS,,,
,CDSL,Finance,Investment Banks/Brokers,NSE
,IKIO,,,
,LANDMARK,Retail Trade,Specialty Stores,NSE
,POWERMECH,Industrial Services,Engineering & Construction,NSE
,DIXON,Electronic Technology,Electronic Production Equipment,NSE
,HERITGFOOD,Consumer Non-Durables,Food: Meat/Fish/Dairy,NSE
,CHOICEIN,Commercial Services,Miscellaneous Commercial Services,NSE
,MAITHANALL,Non-Energy Minerals,Other Metals/Minerals,NSE
,ERIS,Health Technology,Pharmaceuticals: Major,NSE
,HINDZINC,Non-Energy Minerals,Other Metals/Minerals,NSE
,KKCL,Consumer Non-Durables,Apparel/Footwear,NSE
,PVRINOX,,,
,JKPAPER,Process Industries,Pulp & Paper,NSE
,CONFIPET,Retail Trade,Specialty Stores,NSE
,TIRUMALCHM,Process Industries,Chemicals: Specialty,NSE
,ESCORTS,Producer Manufacturing,Auto Parts: OEM,NSE
,MAHLOG,Transportation,Air Freight/Couriers,NSE
,PTC,Utilities,Electric Utilities,NSE
,HONAUT,Electronic Technology,Electronic Equipment/Instruments,NSE
,FIEMIND,Producer Manufacturing,Auto Parts: OEM,NSE
,SUPRIYA,Health Technology,Pharmaceuticals: Major,NSE
,EQUITASBNK,Finance,Regional Banks,NSE
,GUFICBIO,Health Technology,Pharmaceuticals: Major,NSE
,LGBBROSLTD,Producer Manufacturing,Electrical Products,NSE
,EIDPARRY,Process Industries,Chemicals: Agricultural,NSE
,INDIAMART,Retail Trade,Internet Retail,NSE
,PERSISTENT,Technology Services,Information Technology Services,NSE
,BEPL,Process Industries,Industrial Specialties,NSE
,MASFIN,Finance,Finance/Rental/Leasing,NSE
,IRCON,Industrial Services,Engineering & Construction,NSE
,KOLTEPATIL,Finance,Real Estate Development,NSE
,DCXINDIA,Producer Manufacturing,Electrical Products,NSE
,IBREALEST,Finance,Real Estate Development,NSE
,SUNTECK,Finance,Real Estate Development,NSE
,GESHIP,Transportation,Marine Shipping,NSE
,JINDALPOLY,Process Industries,Containers/Packaging,NSE
,TITAGARH,,,
,MAXHEALTH,Health Services,Hospital/Nursing Management,NSE
,SOBHA,Finance,Real Estate Development,NSE
,NYKAA,Retail Trade,Internet Retail,NSE
,SPARC,Health Technology,Pharmaceuticals: Major,NSE
,INDIGOPNTS,Process Industries,Industrial Specialties,NSE
,MANAPPURAM,Finance,Finance/Rental/Leasing,NSE
,ENGINERSIN,Industrial Services,Engineering & Construction,NSE
,BALKRISIND,Consumer Durables,Automotive Aftermarket,NSE
,EDELWEISS,Finance,Investment Banks/Brokers,NSE
,BLS,Technology Services,Data Processing Services,NSE
,AAVAS,Finance,Finance/Rental/Leasing,NSE
,ZEEL,Consumer Services,Broadcasting,NSE
,ANANTRAJ,Consumer Durables,Homebuilding,NSE
,DIVGIITTS,Producer Manufacturing,Auto Parts: OEM,NSE
,IDEA,Communications,Wireless Telecommunications,NSE
,MPHASIS,Technology Services,Packaged Software,NSE
,STAR,Health Technology,Pharmaceuticals: Major,NSE
,PRAJIND,Industrial Services,Engineering & Construction,NSE
,UNIONBANK,Finance,Major Banks,NSE
,SURYAROSNI,Non-Energy Minerals,Steel,NSE
,NBCC,Commercial Services,Miscellaneous Commercial Services,NSE
,RTNINDIA,Commercial Services,Miscellaneous Commercial Services,NSE
,JINDALSAW,Non-Energy Minerals,Steel,NSE
,DEN,Consumer Services,Cable/Satellite TV,NSE
,CGPOWER,Producer Manufacturing,Electrical Products,NSE
,HINDOILEXP,Energy Minerals,Integrated Oil,NSE
,INDHOTEL,Consumer Services,Hotels/Resorts/Cruise lines,NSE
,MANKIND,,,
,WSTCSTPAPR,Producer Manufacturing,Office Equipment/Supplies,NSE
,TIPSINDLTD,Consumer Services,Movies/Entertainment,NSE
,ASTEC,Process Industries,Chemicals: Agricultural,NSE
,BHEL,Producer Manufacturing,Electrical Products,NSE
,MFSL,Finance,Life/Health Insurance,NSE
,CUMMINSIND,Producer Manufacturing,Auto Parts: OEM,NSE
,SAREGAMA,Consumer Services,Movies/Entertainment,NSE
,KAYNES,Electronic Technology,Electronic Production Equipment,NSE
,WELCORP,Producer Manufacturing,Industrial Machinery,NSE
,GOKEX,Consumer Non-Durables,Apparel/Footwear,NSE
,LATENTVIEW,Commercial Services,Miscellaneous Commercial Services,NSE
,PETRONET,Utilities,Gas Distributors,NSE
,PSPPROJECT,Industrial Services,Engineering & Construction,NSE
,SPANDANA,Finance,Finance/Rental/Leasing,NSE
,CHENNPETRO,Energy Minerals,Oil Refining/Marketing,NSE
,PFC,Finance,Finance/Rental/Leasing,NSE
,RESPONIND,Non-Energy Minerals,Forest Products,NSE
,STYLAMIND,Non-Energy Minerals,Forest Products,NSE
,GSFC,Process Industries,Chemicals: Agricultural,NSE
,DISHTV,Communications,Specialty Telecommunications,NSE
,ALOKINDS,Process Industries,Textiles,NSE
,PGEL,Electronic Technology,Electronic Production Equipment,NSE
,THYROCARE,Health Services,Medical/Nursing Services,NSE
,RPOWER,Utilities,Electric Utilities,NSE
,RTNPOWER,Utilities,Electric Utilities,NSE
,ARVIND,Process Industries,Textiles,NSE
,WABAG,Industrial Services,Engineering & Construction,NSE
,UJJIVAN,Finance,Finance/Rental/Leasing,NSE
,SUVENPHAR,Producer Manufacturing,Industrial Conglomerates,NSE
,OIL,Energy Minerals,Oil Refining/Marketing,NSE
,CARERATING,Commercial Services,Financial Publishing/Services,NSE
,GMRINFRA,Transportation,Other Transportation,NSE
,APLAPOLLO,Non-Energy Minerals,Steel,NSE
,MRPL,Energy Minerals,Oil Refining/Marketing,NSE
,TIINDIA,Non-Energy Minerals,Steel,NSE
,TRIDENT,Process Industries,Textiles,NSE
,ELECON,Producer Manufacturing,Electrical Products,NSE
,PNCINFRA,Industrial Services,Engineering & Construction,NSE
,HINDPETRO,Energy Minerals,Oil Refining/Marketing,NSE
,RAIN,Process Industries,Industrial Specialties,NSE
,SUPREMEIND,Producer Manufacturing,Miscellaneous Manufacturing,NSE
,TV18BRDCST,Consumer Services,Broadcasting,NSE
,TARSONS,Process Industries,Containers/Packaging,NSE
,PHOENIXLTD,Finance,Real Estate Development,NSE
,PCBL,Process Industries,Industrial Specialties,NSE
,SHYAMMETL,Producer Manufacturing,Metal Fabrication,NSE
,INDUSTOWER,Finance,Finance/Rental/Leasing,NSE
,SWSOLAR,Industrial Services,Engineering & Construction,NSE
,CRAFTSMAN,Producer Manufacturing,Trucks/Construction/Farm Machinery,NSE
,MSTCLTD,Retail Trade,Internet Retail,NSE
,ASTRAL,Producer Manufacturing,Miscellaneous Manufacturing,NSE
,METROBRAND,Retail Trade,Apparel/Footwear Retail,NSE
,SIS,Commercial Services,Miscellaneous Commercial Services,NSE
,CYIENT,Commercial Services,Miscellaneous Commercial Services,NSE
,IRB,Industrial Services,Engineering & Construction,NSE
,DATAPATTNS,Electronic Technology,Electronic Production Equipment,NSE
,TATAINVEST,Finance,Investment Banks/Brokers,NSE
,VIPIND,Consumer Durables,Other Consumer Specialties,NSE
,VAIBHAVGBL,Consumer Durables,Other Consumer Specialties,NSE
,MANYAVAR,Retail Trade,Internet Retail,NSE
,JPASSOCIAT,Producer Manufacturing,Industrial Conglomerates,NSE
,THOMASCOOK,Finance,Regional Banks,NSE
