Symbol,Market Cap
ALLCARGO,790402.500708
TRITURBINE,1348274.9264894999
CARBORUNIV,2115887.590136
BEML,1178206.194
PARADEEP,552800.7188605
GREENLAM,680734.068936
LAXMIMACH,1467710.6625
KSB,1206700.93187
RATEGAIN,857186.9230139999
KAJARIACER,2073065.2911
POLYPLEX,330044.64923700003
JISLJALEQS,423508.1674545
JMFINANCIL,938913.755424
HAPPSTMNDS,1364458.4439655
DCAL,268020.7009025
KEI,2932350.4070909997
RELIGARE,702629.2425975
BAJAJCON,313241.948388
VMART,396462.001375
CASTROLIND,1777947.48524
MASTEK,863585.778144
AFFLE,1830774.21466
JSWENERGY,6727545.819954
INTELLECT,1142934.5090639999
LEMONTREE,949507.387104
KALYANKJIL,3647417.874837
OLECTRA,1105463.365916
WELSPUNLIV,1403777.3551379999
VOLTAMP,659696.92672
ABBOTINDIA,
SHANTIGEAR,460678.697265
ECLERX,1270541.22976
IOB,8184744.506848001
BIRLACORPN,1109608.5475965
J&KBANK,1354454.42949
RELAXO,2249160.12451
NESCO,621950.06692
AUTOAXLES,324227.423625
EXIDEIND,2701725
GPPL,739904.782255
HINDWAREAP,367916.354155
MAHABANK,3197240.1980084996
INDOCO,364178.20296
AARTIIND,2354826.21136
TATACHEM,2812764.0653979997
GLAND,3169688.508135
LAURUSLABS,2317276.27935
GLENMARK,2409574.968162
DBREALTY,730678.9553919999
IDFCFIRSTB,6277712.785799
3MINDIA,4202901.863905
GREENPLY,295001.592075
RADICO,2217206.3267475
CSBBANK,726298.4147355
CONCOR,5237798.862582
STYRENIX,253874.8753125
HIKAL,374772.629625
FDC,645460.578018
HDFCAMC,6842162.2
BHARATFORG,5765616.824371999
MGL,1185827.22489
SULA,420732.150565
SJVN,3574148.7116625
SOMANYCERA,304625.019776
IDFC,2026380.288194
CAMPUS,854563.5309145
FEDERALBNK,3801009.227454
ICIL,609710.28569
SHOPERSTOP,759645.16307
REDINGTON,1382072.33216
GREENPANEL,525090.50539
CARYSIL,220453.76053
KANSAINER,2693924.95035
TEGA,765529.65504
CANFINHOME,1035473.0530625
DREAMFOLKS,286605.05436
WELENT,451575.055125
GLS,805064.783626
MAHLIFE,842169.4929525
JBCHEPHARM,2518924.94544
ACC,4152445.8530875
NATIONALUM,2423435.6429465
FLUOROCHEM,4063626.125
WHIRLPOOL,1734147.608355
MMTC,897000
GABRIEL,564664.32814
EPIGRAL,405965.818739
GRSE,1000325.34
NFL,448879.236
SBFC,955656.812688
TEJASNET,1478312.050683
BSE,3006979.6861079996
RVNL,3785353.99155
BIKAJI,1365905.32
APOLLOTYRE,2883675.845313
RAJESHEXPO,1082275.3797145
FACT,5214105.966492
BANDHANBNK,3888730.398422
INDIANB,5669371.396029
PRUDENT,498080.95372
ALKEM,6220488.69
ABFRL,2123241.769653
MHRIL,765343.12121
DOLLAR,262141.90664
MARKSANS,730247.673618
SOUTHBANK,558761.851806
GMMPFAUDLR,724665.493656
JWL,1315010.5169375
FORTIS,3164784.556416
JYOTHYLAB,1758562.196116
EMIL,786426.469528
ROSSARI,441423.416764
HIL,212170.73426400003
FCL,400134.04146
NHPC,6489092.48403
STLTECH,569844.917964
LTTS,5555848.016604001
